state,sid,year,l_homicide,homicide,l_larceny,l_motor,population,popwt,post,cdl,effyear,treatment_date,northeast,midwest,south,west,l_police,unemployrt,poverty,l_income,l_prisoner,l_lagprisoner,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,l_exp_subsidy,l_exp_pubwelfare
Alabama,1,2000,2.0273557,7.5939784,7.9863772,5.6892014,4332380,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.8546085,4.1,14.705981469769503,10.711102,6.4057665,6.3355403,2.2222428,4.69481,3.4716945,10.414437,5.3578176,6.926083
Alabama,1,2001,2.164867,8.713443,7.922511,5.6702895,4349601,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.863135,4.7,15.750203294509083,10.675931,6.421284,6.4057665,2.2499535,4.700201,3.4402466,10.186382,5.402183,6.974412
Alabama,1,2002,1.9363341,6.9332876,7.9500895,5.7615256,4370221,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.7413816,5.4,15.556558810183741,10.727071,6.4616323,6.421284,2.258261,4.685461,3.4039927,9.957734,5.5518985,7.0387506
Alabama,1,2003,1.9195671,6.8180065,7.947475,5.8320584,4385446,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.853816,5.5,15.447801660310034,10.695688,6.4559712,6.4616323,2.292948,4.688166,3.3832135,9.79141,5.6018972,7.1104236
Alabama,1,2004,1.7498412,5.7536893,7.9377174,5.7610326,4414559,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.792754,5.1,16.252654002359012,10.652069,6.374003,6.4559712,2.2913275,4.661734,3.3588407,9.599033,5.5795846,7.0855193
Alabama,1,2005,2.1304405,8.418573,7.9079103,5.689601,4442558,4499293.0,0.0,0.0,2006.0,2006.0,0,0,1,0,5.6622906,3.9,16.87298173709831,10.633232,6.4421363,6.374003,2.3120463,4.635865,3.35721,9.449511,4.368332,7.0059175
Alabama,1,2006,2.0796523,8.001687,7.8804727,5.777459,4599030,4499293.0,0.0,0.58082193,2006.0,2006.0,0,0,1,0,5.832794,3.6,16.167670139138036,10.622327,6.4200997,6.4421363,2.2692394,4.483489,3.2928684,9.08883,4.420956,6.9676113
Alabama,1,2007,2.1456904,8.54794,7.9053,5.7381682,4585900,4499293.0,1.0,1.0,2006.0,2006.0,0,0,1,0,5.8762283,3.5,16.3587736322205,10.700725,6.4635863,6.4200997,2.2898014,4.504067,3.338494,9.052967,4.54151,6.9971676
Alabama,1,2008,2.0435977,7.718328,7.9135513,5.672745,4625354,4499293.0,1.0,1.0,2006.0,2006.0,0,0,1,0,5.856899,4.9,15.606913546509087,10.715284,6.491606,6.4635863,2.2850144,4.4733872,3.351938,8.916204,4.515596,6.9110613
Alabama,1,2009,1.9386841,6.9496,7.8431826,5.478022,4633360,4499293.0,1.0,1.0,2006.0,2006.0,0,0,1,0,5.900207,9.9,17.378813647115702,10.612508,6.530851,6.491606,2.2777638,4.4550176,3.3867862,8.858172,4.642847,7.0866895
Alabama,1,2010,1.7479398,5.7427597,7.7951303,5.4070773,4753812,4499293.0,1.0,1.0,2006.0,2006.0,0,0,1,0,5.831543,10.0,16.97416726,10.620742,6.504557,6.530851,2.1828167,4.515513,3.177408,8.610017,4.736799,7.1459756
Alaska,2,2000,1.4915183,4.443837,7.927075,5.957852,607583,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.683415,6.2,8.631248734740767,11.111104,6.532072,6.457475,0.3306544,4.9629436,0.68336344,12.253634,5.8740125,7.5531344
Alaska,2,2001,1.8462465,6.335993,7.9055495,6.0528507,615531,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.689826,6.2,8.830911846844431,11.165422,6.6101723,6.532072,0.3614765,5.2216706,0.6792509,11.714113,5.7135344,7.6233864
Alaska,2,2002,1.6651237,5.286327,7.952137,5.980994,624252,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.6953335,7.1,9.440418292612598,11.066013,6.5575213,6.6101723,0.3926299,5.3866067,0.6803342,11.237449,5.7251234,7.7115536
Alaska,2,2003,1.8232787,6.192127,7.9606733,5.96804,629832,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.6619034,7.7,10.022672712723393,11.026011,6.577532,6.5575213,0.38581717,5.5305223,0.6619226,10.820187,5.6369133,7.8120546
Alaska,2,2004,1.7609477,5.8179483,7.8402624,5.864261,635963,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.6975317,7.4,10.167258158100392,11.059724,6.573791,6.577532,0.434302,5.875342,0.67016476,10.628763,5.9268365,7.8902493
Alaska,2,2005,1.6067477,4.9865675,7.8965216,6.0023537,641724,651473.25,0.0,0.0,2006.0,2005.0,0,0,0,1,5.657445,6.9,10.766778241113002,11.041673,6.61988,6.573791,0.4592317,6.0356164,0.6717841,10.469922,5.829506,7.8173127
Alaska,2,2006,1.6813323,5.3727093,7.858815,5.9357624,670053,651473.25,0.0,0.29589042,2006.0,2005.0,0,0,0,1,5.666709,6.7,10.614085751425634,11.018793,6.628712,6.61988,0.43593568,5.839986,0.6535304,10.003836,5.7342114,7.7931113
Alaska,2,2007,1.8720165,6.5013933,7.82585,5.882238,676778,651473.25,1.0,1.0,2006.0,2005.0,0,0,0,1,5.6311,6.2,9.643634988134957,11.101055,6.6378746,6.628712,0.4484484,5.7454586,0.68116874,9.999438,5.6488996,7.7396045
Alaska,2,2008,1.3770998,3.96339,7.7126136,5.477598,681235,651473.25,1.0,1.0,2006.0,2005.0,0,0,0,1,5.663492,6.9,9.082181626017453,11.07903,6.601252,6.6378746,0.47957018,5.7294474,0.72706187,10.065396,5.586586,7.694469
Alaska,2,2009,1.1695099,3.220414,7.710868,5.5091743,683142,651473.25,1.0,1.0,2006.0,2005.0,0,0,0,1,5.6678033,8.3,9.068246426072472,11.044856,6.6510954,6.601252,0.4144087,5.3245153,0.67848265,9.992359,5.625318,7.764343
Alaska,2,2010,1.4879156,4.4278564,7.704779,5.4434924,700113,651473.25,1.0,1.0,2006.0,2005.0,0,0,0,1,5.6264315,8.1,8.899277688,10.971606,6.6839147,6.6510954,0.3390881,4.92092,0.62575614,10.142649,5.687119,7.851979
Arizona,3,2000,1.9671516,7.1502805,8.166066,6.757518,5020782,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.883233,4.0,12.881698508320019,10.827151,6.2691064,6.2986364,0.26902184,4.0020657,0.56620663,9.467231,4.959045,6.641533
Arizona,3,2001,2.0407066,7.6960464,8.187304,6.9121375,5197474,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.8773594,4.7,13.528552523783668,10.870319,6.278791,6.2691064,0.2697849,3.9276001,0.56179214,9.127241,4.998365,6.637799
Arizona,3,2002,1.9793757,7.238223,8.234699,6.983409,5346616,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.8588862,6.1,13.955462670219818,10.782201,6.3083057,6.278791,0.27604377,3.867437,0.5601113,8.876718,4.308614,6.8094916
Arizona,3,2003,2.087027,8.060915,8.1976595,6.948736,5470843,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.8425155,5.7,14.312328100075252,10.7955265,6.3451934,6.3083057,0.2804321,3.8021562,0.5556913,8.64715,4.274641,6.8782816
Arizona,3,2004,1.9944618,7.3482466,8.063804,6.8892326,5633997,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.8624873,4.9,15.150647045072974,10.831924,6.3580527,6.3451934,0.29112548,3.7395122,0.5569581,8.480853,4.488383,6.9608974
Arizona,3,2005,2.0324998,7.633144,8.013301,6.847785,5829839,5802964.5,0.0,0.0,2006.0,2005.0,0,0,0,1,5.865528,4.6,14.352746276526677,10.830362,6.3556647,6.3580527,0.29832727,3.6536171,0.56363475,8.317211,4.4629984,7.0762053
Arizona,3,2006,2.1436143,8.530212,7.963511,6.8182716,6166318,5802964.5,0.0,0.6849315,2006.0,2005.0,0,0,0,1,5.8510466,4.1,13.952491584118757,10.828817,6.366583,6.3556647,0.30230358,3.4848673,0.56795645,7.9827056,4.393243,7.073736
Arizona,3,2007,2.1887076,8.923674,7.9602623,6.697724,6152175,5802964.5,1.0,1.0,2006.0,2005.0,0,0,0,1,5.885931,3.8,14.240817271940411,10.812734,6.419244,6.366583,0.3223738,3.5236807,0.5957893,7.9911575,4.408878,7.122257
Arizona,3,2008,1.9680102,7.156422,7.889612,6.4007916,6343952,5802964.5,1.0,1.0,2006.0,2005.0,0,0,0,1,5.889329,5.1,14.742340421239,10.768632,6.4362197,6.419244,0.32791862,3.4180114,0.6053009,7.7197146,4.3920665,7.1432114
Arizona,3,2009,1.7930975,6.0080333,7.810384,6.035446,6324865,5802964.5,1.0,1.0,2006.0,2005.0,0,0,0,1,5.892255,8.6,16.849814185757324,10.747079,6.4651146,6.4362197,0.3424579,3.3934796,0.6274442,7.684354,4.522347,7.2508726
Arizona,3,2010,1.8633447,6.4452577,7.7918277,5.8258095,6345751,5802964.5,1.0,1.0,2006.0,2005.0,0,0,0,1,5.854319,9.5,15.93302353,10.763822,6.449509,6.4651146,0.39063933,4.773304,0.6585509,9.334908,4.5311193,7.2804503
Arkansas,4,2000,1.8660628,6.462801,7.894628,5.5860023,2599492,2732902.5,0.0,0.0,,,0,0,1,0,5.64795,4.2,15.193737853395973,10.5347595,6.127652,6.103467,1.4365499,5.412327,2.0820606,11.242081,4.403213,6.8751
Arkansas,4,2001,1.7321641,5.6528745,7.885328,5.6333175,2618137,2732902.5,0.0,0.0,,,0,0,1,0,5.662664,4.7,16.00557953995532,10.622741,6.1759276,6.127652,1.452254,5.400214,2.050695,11.032692,4.6157184,6.9486294
Arkansas,4,2002,1.6844164,5.389305,7.90084,5.555177,2634848,2732902.5,0.0,0.0,,,0,0,1,0,5.6694803,5.3,16.546912763089182,10.577758,6.2082696,6.1759276,1.4577692,5.364598,2.0291872,10.831554,4.6186004,7.0782166
Arkansas,4,2003,1.9157888,6.792294,7.8509917,5.4235125,2650062,2732902.5,0.0,0.0,,,0,0,1,0,5.6724567,5.8,16.310561790629805,10.543709,6.219478,6.2082696,1.4745315,5.3504786,2.0072737,10.674392,4.6647587,7.09824
Arkansas,4,2004,1.8836236,6.5772953,7.928225,5.4954624,2675872,2732902.5,0.0,0.0,,,0,0,1,0,5.6783466,5.7,15.866827710742518,10.606139,6.2460704,6.219478,1.4764906,5.2691607,1.9948263,10.550729,4.662802,7.164019
Arkansas,4,2005,1.9453803,6.996292,7.9356537,5.597343,2701431,2732902.5,0.0,0.0,,,0,0,1,0,5.7121024,5.1,17.093088811078278,10.619887,6.2171106,6.2460704,1.4614476,5.1937656,1.993462,10.45035,4.4168,7.178753
Arkansas,4,2006,2.0157783,7.5065675,7.861998,5.6000867,2810872,2732902.5,0.0,0.0,,,0,0,1,0,5.683826,5.3,16.762093755959004,10.598458,6.191186,6.2171106,1.4322958,4.9646873,1.9400741,10.070185,4.495466,7.156012
Arkansas,4,2007,1.9691905,7.1648736,7.863895,5.517978,2805353,2732902.5,0.0,0.0,,,0,0,1,0,5.708399,5.4,17.235264153922873,10.66658,6.234879,6.191186,1.441102,4.9834013,1.9577929,10.017634,4.4964433,7.2144036
Arkansas,4,2008,1.756988,5.7949567,7.8059444,5.4363713,2830047,2732902.5,0.0,0.0,,,0,0,1,0,5.834732,5.2,16.930460872204595,10.598807,6.2538123,6.234879,1.4364426,4.919954,1.9554799,9.882522,4.5524635,7.2076764
Arkansas,4,2009,1.8416507,6.306941,7.7848754,5.3698173,2838143,2732902.5,0.0,0.0,,,0,0,1,0,5.861601,7.1,18.28752110094523,10.522477,6.2838416,6.2538123,1.4272712,4.8605375,1.9818592,9.784884,4.582703,7.2240677
Arkansas,4,2010,1.5607613,4.7624454,7.726666,5.253979,2897671,2732902.5,0.0,0.0,,,0,0,1,0,5.8402414,7.7,17.8843975,10.560256,6.326521,6.2838416,1.3095,5.0557156,1.9210945,9.672872,4.6951585,7.281892
California,5,2000,1.8389783,6.2901087,7.5869136,6.3112903,33051894,35311970.0,0.0,0.0,,,0,0,0,1,5.749037,4.9,13.024696860034707,10.989926,6.2008476,6.198436,0.50634015,2.8180654,1.0736934,7.468985,3.7590296,7.2422085
