id,session,age,age_cl,appearance_cl,bmi,schooling,asq_cl,provider_second,asian_cl,black_cl,hispanic_cl,othrace_cl,reg,hot,massage_cl,lnw,llength,unsafe,asian,black,hispanic,other,white,asq,cohab,married,divorced,separated,nevermarried,widowed
243.0,2.0,27.0,30.0,5.0,,11.0,900.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.7080503,0.0,0.0,1.0,0.0,0.0,0.0,729.0,1.0,0.0,0.0,0.0,0.0,0.0
397.0,4.0,28.0,56.0,5.0,28.971931,16.0,3136.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.521461,4.787492,1.0,0.0,0.0,0.0,0.0,1.0,784.0,0.0,1.0,0.0,0.0,0.0,0.0
598.0,4.0,50.0,52.0,6.0,21.453857,16.0,2704.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.2983174,5.192957,1.0,0.0,0.0,0.0,0.0,1.0,2500.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,1.0,41.0,72.0,5.0,24.02832,12.0,5184.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,5.926926,3.6888795,1.0,0.0,0.0,0.0,0.0,1.0,1681.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,4.0,41.0,46.0,8.0,24.02832,12.0,2116.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,5.115996,4.4998097,1.0,0.0,0.0,0.0,0.0,1.0,1681.0,0.0,0.0,1.0,0.0,0.0,0.0
280.0,1.0,37.0,45.0,5.0,23.625288,14.0,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0322866,5.192957,1.0,0.0,0.0,0.0,0.0,1.0,1369.0,0.0,0.0,0.0,0.0,1.0,0.0
354.0,2.0,39.0,55.0,5.0,25.537552,16.0,3025.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.521461,3.4011974,1.0,0.0,0.0,0.0,0.0,1.0,1521.0,1.0,0.0,0.0,0.0,0.0,0.0
373.0,3.0,47.0,44.0,8.0,28.242653,16.0,1936.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.9914646,4.0943446,0.0,0.0,0.0,0.0,0.0,1.0,2209.0,0.0,0.0,0.0,0.0,1.0,0.0
281.0,4.0,41.0,43.0,10.0,24.207989,14.0,1849.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.857933,4.787492,1.0,0.0,0.0,0.0,0.0,1.0,1681.0,1.0,0.0,0.0,0.0,0.0,0.0
334.0,3.0,45.0,48.0,8.0,19.13491,14.0,2304.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8928523,5.192957,0.0,0.0,0.0,0.0,0.0,1.0,2025.0,0.0,0.0,0.0,0.0,1.0,0.0
592.0,2.0,45.0,36.0,7.0,21.96875,14.0,1296.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.2839284,4.9416423,1.0,0.0,0.0,0.0,0.0,1.0,2025.0,1.0,0.0,0.0,0.0,0.0,0.0
366.0,3.0,47.0,,8.0,23.294674,14.0,,1.0,,,,,1.0,0.0,0.0,6.263398,3.6888795,0.0,0.0,0.0,0.0,0.0,1.0,2209.0,0.0,0.0,1.0,0.0,0.0,0.0
444.0,1.0,41.0,35.0,8.0,29.754957,14.0,1225.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.684612,2.7080503,0.0,0.0,0.0,0.0,0.0,1.0,1681.0,0.0,0.0,1.0,0.0,0.0,0.0
390.0,2.0,47.0,62.5,7.0,21.284601,12.0,3906.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.3969297,4.0943446,0.0,0.0,0.0,0.0,0.0,1.0,2209.0,0.0,0.0,1.0,0.0,0.0,0.0
605.0,2.0,42.0,40.0,6.0,20.068338,16.0,1600.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.192957,4.0943446,0.0,0.0,0.0,0.0,1.0,0.0,1764.0,0.0,0.0,0.0,0.0,1.0,0.0
584.0,2.0,28.0,40.0,2.0,20.504168,14.0,1600.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.36731,4.248495,1.0,1.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,1.0,0.0
349.0,4.0,38.0,40.0,4.0,27.121914,14.0,1600.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.075174,4.0943446,1.0,0.0,0.0,0.0,0.0,1.0,1444.0,0.0,0.0,0.0,0.0,1.0,0.0
394.0,4.0,49.0,44.0,7.0,30.893555,16.0,1936.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.9416423,4.0943446,1.0,0.0,0.0,0.0,0.0,1.0,2401.0,0.0,0.0,1.0,0.0,0.0,0.0
123.0,1.0,27.0,35.0,7.0,19.043617,16.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5859995,4.4998097,1.0,0.0,0.0,0.0,1.0,0.0,729.0,0.0,0.0,1.0,0.0,0.0,0.0
630.0,4.0,33.0,40.0,4.0,25.821856,14.0,1600.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.8928523,5.192957,1.0,0.0,0.0,0.0,0.0,1.0,1089.0,0.0,1.0,0.0,0.0,0.0,0.0
337.0,3.0,41.0,62.0,6.0,22.271349,16.0,3844.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.7593207,5.192957,0.0,0.0,0.0,0.0,0.0,1.0,1681.0,1.0,0.0,0.0,0.0,0.0,0.0
349.0,2.0,38.0,35.0,4.0,27.121914,14.0,1225.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.2983174,4.317488,1.0,0.0,0.0,0.0,0.0,1.0,1444.0,0.0,0.0,0.0,0.0,1.0,0.0
329.0,4.0,43.0,45.0,7.0,19.195547,12.0,2025.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.173786,3.912023,1.0,0.0,0.0,0.0,0.0,1.0,1849.0,0.0,0.0,0.0,0.0,1.0,0.0
340.0,1.0,37.0,60.0,3.0,18.597883,14.0,3600.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.4228487,8.658692,1.0,0.0,0.0,0.0,0.0,1.0,1369.0,0.0,0.0,1.0,0.0,0.0,0.0
514.0,4.0,46.0,45.0,6.0,23.025951,14.0,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.809143,3.8066626,0.0,0.0,0.0,0.0,0.0,1.0,2116.0,0.0,0.0,1.0,0.0,0.0,0.0
246.0,3.0,33.0,45.0,8.0,25.085424,11.0,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2983174,4.787492,0.0,0.0,1.0,0.0,0.0,0.0,1089.0,0.0,0.0,0.0,0.0,1.0,0.0
593.0,4.0,40.0,55.0,5.0,20.657484,12.0,3025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.787492,4.4998097,0.0,0.0,0.0,0.0,0.0,1.0,1600.0,0.0,0.0,0.0,0.0,1.0,0.0
356.0,1.0,46.0,45.0,3.0,,14.0,2025.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.521461,4.0943446,1.0,0.0,0.0,0.0,0.0,1.0,2116.0,0.0,0.0,1.0,0.0,0.0,0.0
424.0,2.0,38.0,42.0,6.0,22.961893,14.0,1764.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.480639,3.4011974,1.0,0.0,0.0,0.0,0.0,1.0,1444.0,1.0,0.0,0.0,0.0,0.0,0.0
393.0,1.0,30.0,50.0,8.0,19.202654,16.0,2500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.115996,4.4998097,1.0,0.0,0.0,0.0,0.0,1.0,900.0,0.0,0.0,0.0,0.0,1.0,0.0
283.0,2.0,39.0,45.0,7.0,26.57845,14.0,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.521461,4.0943446,1.0,0.0,0.0,0.0,0.0,1.0,1521.0,0.0,0.0,0.0,0.0,1.0,0.0
361.0,3.0,32.0,33.0,4.0,25.821856,16.0,1089.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0255384,2.7725887,0.0,0.0,0.0,0.0,0.0,1.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0
